"year","e1q1-1","e1q1-2","e1q1-3","e1q1a-1","e1q1a-2","e1q1a-3","e1q2-1","e1q2-2","e1q2-3","e1q2-4","e1q2-5","e1q2-6","e1q2-7","e1q2-8","e1q3-1","e1q3-2","e1q3-3","e1q3a-1","e1q3a-2","e1q3a-3","e1q4-1","e1q4-2","e1q4a-1","e1q4a-2","e1q5-1","e1q5-2","e1q5-3","e1q5-4","e2q2-1","e2q2-2","e2q2-3","e2q2-4","e2q3-1","e2q3-2","e2q3a-1","e2q3a-2","e2qa-1","e2qa-2","e2qa-3","e2qa-4","e2qa-5","e2qo-1","e2qo-10","e2qo-2","e2qo-3","e2qo-4","e2qo-5","e2qo-6","e2qo-7","e2qo-8","e2qo-9"
"47",47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,NA,47,47,47,47,47,47,47,47,47,47,NA,47,47,47,47,47,47,47,47,47
"48",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,NA,48,48,48,48,48,48,48,48,48
"49",49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,NA,49,49,49,49,NA,49,49,49,49
"50",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,50,50,50,50,50,50,50,50,50
"51",51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,NA,51,51,51,51,51,51,51,51,51
"52",52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,NA,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,NA,52,52,52,52,52,52,52,52,52
"53",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,NA,53,NA,53,53,53,53,53,53,53
"54",54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,NA,54,54,54,54,54,54,54,54,54
"55",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,NA,55,55,55,NA,55,55,55,55,55
"56",56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,NA,56,56,56,56,56,56,56,56,56
"57",57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,NA,57,57,57,57,57,57,57,57,57
"58",58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,NA,58,NA,58,NA,58,58,58,58,58,58,58
"59",59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,NA,59,NA,59,59,59,59,59,59,59
"60",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,60,NA,60,60,60,60,60,60,60
"61",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,NA,NA,61,NA,61,NA,61,61,61,61,61
"62",62,NA,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,NA,62,62,62,62,62,62,62,62,62,62,62,62,NA,62,NA,62,62,62,62,62,62,62
"63",63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,NA,NA,NA,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,NA,63,NA,63,63,63,63,63,63,63
"64",64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,NA,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,NA,NA,NA,64,NA,64,64,NA,64,64,64,NA
"65",65,65,65,65,65,65,NA,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,NA,65,NA,65,65,NA,65,65,65,NA
"66",66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,NA,66,NA,66,66,66,66,66,66,66
"67",67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,NA,67,67,67,67,67,67,67,67,67,67,67,NA,67,NA,67,67,67,67,67,67,67
"68",68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,NA,68,NA,68,68,68,68,68,68,68
"69",69,NA,69,69,69,69,69,69,69,69,69,69,NA,69,69,69,69,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,69,69,69,69,69,69,69,69,69,69,69,69,69,NA,69,NA,NA,69,NA,NA,69,69,69
"70",70,70,70,70,70,70,70,70,70,70,70,70,NA,70,70,NA,70,70,70,NA,70,70,70,70,70,70,70,70,NA,70,70,70,70,70,70,70,70,70,70,70,70,NA,70,NA,70,70,70,70,70,NA,70
"71",71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,NA,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,NA,71,NA,71,71,71,71,71,71,71
"72",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,NA,72,72,72,72,NA,72,72,NA,72,NA,72,72,72,72,72,72,72
