"quad","year","tot_p_area","g_cov","nr_quad"
"e1q1-3",69,268.76869447321,90.8679422533923,NA
"e1q1a-2",69,7.16314116178944,90.8679422533923,NA
"e1q1a-3",66,23.169832512462,98.1425683012999,NA
"e1q2-4",58,394.157122257989,214.475964464124,3
"e1q2-4",59,111.807711655762,139.711484430834,NA
"e1q2-8",44,2.2310798513775,99.116014595114,NA
"e1q2-8",69,112.214764000584,90.8679422533923,NA
"e1q3a-3",51,5.74876199487975,164.382113168243,NA
"e1q3a-3",58,90.9491092630041,214.475964464124,0
"e1q3a-3",59,58.5001687225365,139.711484430834,NA
"e1q4-1",42,10.6139025611275,59.1800876139676,0
"e1q4-1",43,34.0939602186611,127.002496237431,0
"e1q4-1",44,24.2403469579545,99.116014595114,0
"e1q4-1",45,29.037646933288,84.4700835069938,0
"e1q4-1",46,37.8756517241315,107.935352305781,0
"e1q4-1",47,51.8424417568725,136.561989162181,0
"e1q4-1",48,80.6698874626769,199.069608848475,0
"e1q4-1",49,160.575880788443,229.637766352153,0
"e1q4-1",50,108.466645818414,229.193794877211,0
"e1q4-1",51,81.6893384308369,164.382113168243,1
"e1q4-1",52,93.239151800269,160.110735986743,0
"e1q4-1",53,181.748916393165,279.303106033549,0
"e1q4-1",54,216.977284861531,332.234471245798,0
"e1q4-1",55,181.10706659368,306.214858073728,0
"e1q4-1",56,271.263447857606,371.222458831914,0
"e1q4-1",57,204.295633906861,287.541530060776,0
"e1q4-1",58,283.745907696871,214.475964464124,0
"e1q4-1",59,122.417485432174,139.711484430834,0
"e1q4-1",60,202.050469601933,236.45507991738,0
"e1q4-1",61,107.350281174908,120.276249692249,0
"e1q4-1",62,261.586232300454,118.412787561259,NA
"e1q4-1",65,48.1627405798305,130.77724025217,1
"e1q4-1",66,196.665165936985,98.1425683012999,0
"e1q4-1",67,127.161301919707,89.4180040143396,0
"e1q4-1",68,150.017275530449,80.5222580094875,NA
"e1q4-1",71,66.5160281000489,34.6350793156617,NA
"e1q4-2",37,5.6095651395475,19.2172000694357,0
"e1q4-2",38,26.8697817087835,81.8260723869729,0
"e1q4-2",39,43.6768951995747,126.391518878329,NA
"e1q4-2",41,59.2399073740853,74.3300217945539,0
"e1q4-2",42,57.390935645621,59.1800876139676,0
"e1q4-2",43,43.8178668611881,127.002496237431,0
"e1q4-2",44,124.262269352105,99.116014595114,0
"e1q4-2",45,48.9466563796768,84.4700835069938,0
"e1q4-2",46,65.4611656935976,107.935352305781,0
"e1q4-2",47,55.5710284651618,136.561989162181,0
"e1q4-2",48,86.2936382683805,199.069608848475,0
"e1q4-2",49,75.3067488988014,229.637766352153,0
"e1q4-2",50,73.5909138632791,229.193794877211,0
"e1q4-2",51,100.515429080414,164.382113168243,0
"e1q4-2",52,105.841185232893,160.110735986743,0
"e1q4-2",53,121.893848319693,279.303106033549,0
"e1q4-2",54,132.131070844104,332.234471245798,0
"e1q4-2",55,82.6657452815412,306.214858073728,0
"e1q4-2",56,104.257542398023,371.222458831914,0
"e1q4-2",57,45.4286318210884,287.541530060776,0
"e1q4-2",58,47.3291488844446,214.475964464124,0
"e1q4-2",59,24.9320896281841,139.711484430834,NA
"e1q4a-1",37,27.990684597192,19.2172000694357,0
"e1q4a-1",38,56.6750850250691,81.8260723869729,0
"e1q4a-1",39,82.5628549940399,126.391518878329,0
"e1q4a-1",40,72.5716918012881,138.408446090905,1
"e1q4a-1",41,123.195621125945,74.3300217945539,0
"e1q4a-1",42,116.124361861284,59.1800876139676,2
"e1q4a-1",43,332.509773937353,127.002496237431,1
"e1q4a-1",44,185.240685040561,99.116014595114,0
"e1q4a-1",45,200.330943453533,84.4700835069938,0
"e1q4a-1",46,102.787345474372,107.935352305781,1
"e1q4a-1",47,119.201350142148,136.561989162181,0
"e1q4a-1",48,156.300639578456,199.069608848475,0
"e1q4a-1",49,288.766735042341,229.637766352153,0
"e1q4a-1",50,179.783454435401,229.193794877211,0
"e1q4a-1",51,159.055687186099,164.382113168243,0
"e1q4a-1",52,61.4307672118879,160.110735986743,NA
"e1q4a-1",54,178.205411366746,332.234471245798,1
"e1q4a-1",55,210.169154566071,306.214858073728,0
"e1q4a-1",56,134.124640399688,371.222458831914,0
