"","quad","year","track_id","size_t0","logsize_t0","survives","size_t1"
"1","gzgz_11",2003,"SITHYS_2003_1",0.000298155075757335,-8.11789681836655,0,NA
"2","gzgz_19",1997,"SITHYS_1997_1",0.00452925368128392,-5.39719810332846,1,0.00258131624297986
"3","gzgz_19",1998,"SITHYS_1997_1",0.00258131624297986,-5.95945583844433,1,0.00254059170373543
"4","gzgz_19",1999,"SITHYS_1997_1",0.00254059170373543,-5.97535827085477,1,0.000906206499214095
"5","gzgz_19",2001,"SITHYS_1997_1",0.000906206499214095,-7.00624335381467,0,NA
"6","gzgz_19",1997,"SITHYS_1997_10",0.000558133846172601,-7.49091175665378,0,NA
"7","gzgz_19",1997,"SITHYS_1997_2",0.00161334804730836,-6.42944372673084,1,0.00190723517663909
"8","gzgz_19",1998,"SITHYS_1997_2",0.00190723517663909,-6.2621006371363,1,0.00186341644857474
"9","gzgz_19",1999,"SITHYS_1997_2",0.00186341644857474,-6.28534367580287,1,0.000555581335923359
"10","gzgz_19",2001,"SITHYS_1997_2",0.000555581335923359,-7.49549554029887,0,NA
"11","gzgz_19",1997,"SITHYS_1997_3",0.0340987978697022,-3.37849314840198,1,0.0115251649992556
"12","gzgz_19",1998,"SITHYS_1997_3",0.0115251649992556,-4.46322237356368,1,0.031330649998947
"13","gzgz_19",1999,"SITHYS_1997_3",0.031330649998947,-3.46315842737889,1,0.00721638458940212
"14","gzgz_19",2000,"SITHYS_1997_3",0.00721638458940212,-4.93140120088454,1,0.00589883307660923
"15","gzgz_19",2001,"SITHYS_1997_3",0.00589883307660923,-5.13300073125778,1,0.000705879932831324
"16","gzgz_19",2003,"SITHYS_1997_3",0.000705879932831324,-7.25606540174519,0,NA
"17","gzgz_19",1997,"SITHYS_1997_4",0.00154521059517115,-6.47259507036731,1,0.00150190323448733
"18","gzgz_19",1999,"SITHYS_1997_4",0.00150190323448733,-6.50102215215806,1,0.000533609423109418
"19","gzgz_19",2000,"SITHYS_1997_4",0.000533609423109418,-7.53584640401838,0,NA
"20","gzgz_19",1997,"SITHYS_1997_5",0.00189679917009181,-6.26758746074385,1,0.00161341472195718
"21","gzgz_19",1999,"SITHYS_1997_5",0.00161341472195718,-6.42940240070002,0,NA
"22","gzgz_19",1997,"SITHYS_1997_6",0.00526811213782251,-5.24608320872506,1,0.00669789595347561
"23","gzgz_19",1998,"SITHYS_1997_6",0.00669789595347561,-5.00596183869978,1,0.013396144095627
"24","gzgz_19",1999,"SITHYS_1997_6",0.013396144095627,-4.3127883674921,1,0.00627758159625198
"25","gzgz_19",2000,"SITHYS_1997_6",0.00627758159625198,-5.07077046880881,1,0.00619617161911257
"26","gzgz_19",2001,"SITHYS_1997_6",0.00619617161911257,-5.08382365843916,0,NA
"27","gzgz_19",1997,"SITHYS_1997_7",0.00199957002082306,-6.21482311112424,1,0.00107402592688712
"28","gzgz_19",1998,"SITHYS_1997_7",0.00107402592688712,-6.83634114269604,1,0.00180670601960857
"29","gzgz_19",1999,"SITHYS_1997_7",0.00180670601960857,-6.31624997036475,1,0.000477696148106757
"30","gzgz_19",2001,"SITHYS_1997_7",0.000477696148106757,-7.64653570101565,0,NA
"31","gzgz_19",1997,"SITHYS_1997_8",0.00320650609190702,-5.74257337951531,1,0.00318386288653368
"32","gzgz_19",1998,"SITHYS_1997_8",0.00318386288653368,-5.74966007520185,1,0.0101358368726477
"33","gzgz_19",1999,"SITHYS_1997_8",0.0101358368726477,-4.59167792995155,1,0.00731124912553779
"34","gzgz_19",2000,"SITHYS_1997_8",0.00731124912553779,-4.91834114081207,1,0.00480985017624029
"35","gzgz_19",2001,"SITHYS_1997_8",0.00480985017624029,-5.33708934374038,1,0.000500771848597212
"36","gzgz_19",2002,"SITHYS_1997_8",0.000500771848597212,-7.59935995262338,0,NA
"37","gzgz_19",1997,"SITHYS_1997_9",0.00176767945795602,-6.33808763326497,0,NA
"38","gzgz_19",1998,"SITHYS_1998_1",0.000650840024464527,-7.337246684104,1,0.00279276195508453
"39","gzgz_19",1999,"SITHYS_1998_1",0.00279276195508453,-5.88072422476533,1,2.4999999999999e-05
"40","gzgz_19",2000,"SITHYS_1998_1",2.4999999999999e-05,-10.5966347330961,1,0.000627896593244201
"41","gzgz_19",2001,"SITHYS_1998_1",0.000627896593244201,-7.37313506549326,0,NA
"42","gzgz_19",1998,"SITHYS_1998_2",0.00184395839331536,-6.29584071738029,1,0.00088434962970735
"43","gzgz_19",1999,"SITHYS_1998_2",0.00088434962970735,-7.03065806480087,1,0.00063002879705173
"44","gzgz_19",2000,"SITHYS_1998_2",0.00063002879705173,-7.36974503001743,0,NA
"45","gzgz_19",1998,"SITHYS_1998_3",0.000338124415276117,-7.9920966376778,1,0.00374455212087852
"46","gzgz_19",1999,"SITHYS_1998_3",0.00374455212087852,-5.58745326305579,1,0.000844816280985928
"47","gzgz_19",2000,"SITHYS_1998_3",0.000844816280985928,-7.07639137319759,1,0.000734103755160892
"48","gzgz_19",2001,"SITHYS_1998_3",0.000734103755160892,-7.21686018353452,0,NA
"49","gzgz_19",1998,"SITHYS_1998_4",0.0013088467436804,-6.63860887783882,1,0.00386407638450561
"50","gzgz_19",1999,"SITHYS_1998_4",0.00386407638450561,-5.55603259458046,1,4.99999999999988e-05
"51","gzgz_19",2000,"SITHYS_1998_4",4.99999999999988e-05,-9.90348755253615,1,4.99999999999988e-05
"52","gzgz_19",2001,"SITHYS_1998_4",4.99999999999988e-05,-9.90348755253615,0,NA
"53","gzgz_19",1998,"SITHYS_1998_5",0.000121505110546721,-9.01555423395533,0,NA
"54","gzgz_19",1999,"SITHYS_1999_1",0.00202964602152057,-6.19989387476848,0,NA
"55","gzgz_19",1999,"SITHYS_1999_2",0.00193289728867871,-6.24873521587452,0,NA
"56","gzgz_19",1999,"SITHYS_1999_3",0.00198745106004138,-6.22090233561751,1,0.00161684229847264
"57","gzgz_19",2000,"SITHYS_1999_3",0.00161684229847264,-6.42728023037106,1,0.000527448240038892
"58","gzgz_19",2001,"SITHYS_1999_3",0.000527448240038892,-7.54745982057746,0,NA
"59","gzgz_19",2000,"SITHYS_2000_1",0.00164136712686119,-6.4122257704694,1,2.50000000000001e-05
"60","gzgz_19",2001,"SITHYS_2000_1",2.50000000000001e-05,-10.5966347330961,1,0.000985289999027749
"61","gzgz_19",2003,"SITHYS_2000_1",0.000985289999027749,-6.92257454486725,0,NA
"62","gzgz_19",2000,"SITHYS_2000_10",0.000592289751625815,-7.43151459750568,1,0.000565021930955285
"63","gzgz_19",2001,"SITHYS_2000_10",0.000565021930955285,-7.47864601172109,0,NA
"64","gzgz_19",2000,"SITHYS_2000_11",0.000551042414867342,-7.50369877379336,1,0.00048134753326311
"65","gzgz_19",2001,"SITHYS_2000_11",0.00048134753326311,-7.63892102637562,0,NA
"66","gzgz_19",2000,"SITHYS_2000_12",0.000677622413506641,-7.29692033738919,1,0.000359782534512456
"67","gzgz_19",2001,"SITHYS_2000_12",0.000359782534512456,-7.93001077983713,0,NA
"68","gzgz_19",2000,"SITHYS_2000_13",0.000439989835751349,-7.7287589318839,1,0.000406155016804497
"69","gzgz_19",2001,"SITHYS_2000_13",0.000406155016804497,-7.80877565644586,0,NA
"70","gzgz_19",2000,"SITHYS_2000_14",0.00170396668838529,-6.37479639983576,1,0.00106801908631697
"71","gzgz_19",2001,"SITHYS_2000_14",0.00106801908631697,-6.84194966752052,0,NA
"72","gzgz_19",2000,"SITHYS_2000_15",0.00111750036107545,-6.79666090836658,1,0.0007570445632071
"73","gzgz_19",2001,"SITHYS_2000_15",0.0007570445632071,-7.1860884380863,0,NA
"74","gzgz_19",2000,"SITHYS_2000_16",0.000961937270209054,-6.94656131710758,1,0.000377846242600471
"75","gzgz_19",2001,"SITHYS_2000_16",0.000377846242600471,-7.88102321070348,0,NA
"76","gzgz_19",2000,"SITHYS_2000_17",2.49999999999994e-05,-10.5966347330961,1,0.000915363964915677
"77","gzgz_19",2001,"SITHYS_2000_17",0.000915363964915677,-6.99618879591647,0,NA
"78","gzgz_19",2000,"SITHYS_2000_18",2.49999999999998e-05,-10.5966347330961,0,NA
"79","gzgz_19",2000,"SITHYS_2000_19",2.4999999999999e-05,-10.5966347330961,0,NA
"80","gzgz_19",2000,"SITHYS_2000_2",0.000653881593062419,-7.33258427326194,0,NA
"81","gzgz_19",2000,"SITHYS_2000_20",2.4999999999999e-05,-10.5966347330961,1,0.000903940804253422
"82","gzgz_19",2001,"SITHYS_2000_20",0.000903940804253422,-7.00874668173669,0,NA
"83","gzgz_19",2000,"SITHYS_2000_21",2.4999999999999e-05,-10.5966347330961,0,NA
"84","gzgz_19",2000,"SITHYS_2000_22",2.4999999999999e-05,-10.5966347330961,0,NA
"85","gzgz_19",2000,"SITHYS_2000_23",2.4999999999999e-05,-10.5966347330961,1,0.000213830387412924
"86","gzgz_19",2001,"SITHYS_2000_23",0.000213830387412924,-8.45032743938434,0,NA
"87","gzgz_19",2000,"SITHYS_2000_3",0.000732212878937908,-7.2194392680612,1,0.000471654097679679
"88","gzgz_19",2001,"SITHYS_2000_3",0.000471654097679679,-7.65926468493906,0,NA
"89","gzgz_19",2000,"SITHYS_2000_4",0.000486015744793363,-7.62926953789438,0,NA
