"","species","quad","year","totPsize","Gcov","NRquad"
"1","Buchloe dactyloides","gzgz_24",1998,0.180780667342473,0.0976200220578947,12
"2","Buchloe dactyloides","gzgz_24",1999,0.412277603727724,0.101409582369987,0
"3","Buchloe dactyloides","gzgz_24",2000,0.496328243204952,0.130732321702375,6
"4","Buchloe dactyloides","gzgz_24",2001,0.323106762231613,0.191940758763554,3
"5","Buchloe dactyloides","gzgz_24",2002,0.45822324625389,0.253800472258385,1
"6","Buchloe dactyloides","gzgz_24",2003,0.500355750941302,0.140838051767576,4
"7","Buchloe dactyloides","gzgz_24",2004,0.206809028028712,0.107541676688207,2
"8","Buchloe dactyloides","gzgz_24",2005,0.0936144553978287,0.0602728708576404,12
"9","Buchloe dactyloides","gzgz_24",2006,0.0954945907570366,0.0301774819059207,0
"10","Buchloe dactyloides","gzgz_24",2009,0.0167088128800838,0.0772925591139027,44
"11","Buchloe dactyloides","gzgz_24",2010,0.061967073290407,0.127126433027289,18
"12","Buchloe dactyloides","gzgz_5b",1998,0.00852816735920971,0.0976200220578947,41
"13","Buchloe dactyloides","gzgz_5b",1999,0.0406922806934855,0.101409582369987,26
"14","Buchloe dactyloides","gzgz_5b",2002,0.203140987916368,0.253800472258385,5
"15","Buchloe dactyloides","gzgz_5b",2006,0.00593891466684422,0.0301774819059207,2
"16","Buchloe dactyloides","gzgz_5b",2007,0.043400726001706,0.0251739978673603,14
"17","Buchloe dactyloides","gzgz_5b",2008,0.0423313840496158,0.0553355819256867,0
"18","Buchloe dactyloides","gzgz_5b",2009,0.00768201839434832,0.0772925591139027,11
"19","Buchloe dactyloides","gzgz_5b",2010,0.0332611584531587,0.127126433027289,7
"20","Buchloe dactyloides","gzun_11",1999,0.000175,0.101409582369987,10
"21","Buchloe dactyloides","gzun_24",1999,0.194271202742886,0.101409582369987,0
"22","Buchloe dactyloides","ungz_24",1998,0.0548752947285773,0.0976200220578947,3
"23","Buchloe dactyloides","ungz_24",1999,0.0864753197224748,0.101409582369987,6
"24","Buchloe dactyloides","ungz_24",2002,0.230766456642015,0.253800472258385,0
"25","Buchloe dactyloides","ungz_24",2003,0.166123074882037,0.140838051767576,3
"26","Buchloe dactyloides","ungz_24",2004,0.318848260342396,0.107541676688207,0
"27","Buchloe dactyloides","ungz_24",2008,0.135360501686665,0.0553355819256867,8
"28","Buchloe dactyloides","ungz_24",2009,0.256337738786745,0.0772925591139027,3
"29","Buchloe dactyloides","ungz_24",2010,0.323462820147842,0.127126433027289,8
"30","Buchloe dactyloides","ungz_5b",1998,0.0164530322860191,0.0976200220578947,19
"31","Buchloe dactyloides","ungz_5b",1999,0.0376330202240131,0.101409582369987,3
"32","Buchloe dactyloides","ungz_5b",2000,0.0582000313550054,0.130732321702375,9
"33","Buchloe dactyloides","ungz_5b",2001,0.0607747552954953,0.191940758763554,0
"34","Buchloe dactyloides","ungz_5b",2002,0.0519936194653011,0.253800472258385,10
"35","Buchloe dactyloides","ungz_5b",2003,0.0210907693263827,0.140838051767576,2
"36","Buchloe dactyloides","ungz_5b",2004,0.053149722985736,0.107541676688207,10
"37","Buchloe dactyloides","ungz_5b",2007,0.0166431825164967,0.0251739978673603,10
"38","Buchloe dactyloides","ungz_5b",2008,0.0348230646175742,0.0553355819256867,5
"39","Buchloe dactyloides","ungz_5b",2009,0.0187840002902306,0.0772925591139027,4
"40","Buchloe dactyloides","ungz_5b",2010,0.0557569399827882,0.127126433027289,16
"41","Buchloe dactyloides","unun_24",1998,0.227462948573194,0.0976200220578947,5
"42","Buchloe dactyloides","unun_24",1999,0.44444349063411,0.101409582369987,2
"43","Buchloe dactyloides","unun_24",2004,0.165586427781406,0.107541676688207,1
"44","Buchloe dactyloides","unun_24",2005,0.137630212910068,0.0602728708576404,0
"45","Buchloe dactyloides","unun_24",2008,0.207926879601984,0.0553355819256867,5
"46","Buchloe dactyloides","unun_24",2009,0.0869502252181054,0.0772925591139027,0
"47","Buchloe dactyloides","unun_24",2010,0.161184173262251,0.127126433027289,0
