"quad","species","track_id","year","size_t0","recruit","survives","age","size_t1","logsize_t0","logsize_t1","logsize_t0_2","logsize_t0_3"
"gzgz_11","Buchloe dactyloides","BUCDAC_1998_1",1998,4.99999999999988e-05,1,0,0,NA,-9.90348755253615,NA,98.0790657032385,-971.324806356398
"gzgz_11","Buchloe dactyloides","BUCDAC_1998_2",1998,2.49999999999994e-05,1,0,0,NA,-10.5966347330961,NA,112.288667666659,-1189.8819959296
"gzgz_11","Buchloe dactyloides","BUCDAC_2001_1",2001,2.49999999999995e-05,1,0,0,NA,-10.5966347330961,NA,112.288667666658,-1189.8819959296
"gzgz_11","Buchloe dactyloides","BUCDAC_2001_2",2001,2.49999999999995e-05,1,0,0,NA,-10.5966347330961,NA,112.288667666658,-1189.8819959296
"gzgz_19","Buchloe dactyloides","BUCDAC_1998_1",1998,2.49999999999994e-05,1,0,0,NA,-10.5966347330961,NA,112.288667666659,-1189.8819959296
"gzgz_19","Buchloe dactyloides","BUCDAC_2007_1",2007,0.00597397990059843,1,0,0,NA,-5.12034192367355,NA,26.217901415329,-134.244619767649
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",1997,0.1703906900201,NA,1,NA,0.330538790563641,-1.7696613021118,-1.10703125724741,3.13170112419204,-5.54205028926268
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",1998,0.330538790563641,NA,1,NA,0.459518555369159,-1.10703125724741,-0.77757595634957,1.22551820452277,-1.35668695873243
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",1999,0.459518555369159,NA,1,NA,0.282471596672843,-0.77757595634957,-1.2641772762014,0.604624367892948,-0.470141371096613
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2000,0.282471596672843,NA,1,NA,0.368746824867539,-1.2641772762014,-0.997644981893887,1.59814418566399,-2.02033756360981
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2001,0.368746824867539,NA,1,NA,0.393884681107176,-0.997644981893887,-0.931697100070801,0.995295509898054,-0.992951570951311
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2002,0.393884681107176,NA,1,NA,0.187538995622984,-0.931697100070801,-1.6737684785399,0.868059486280339,-0.808768506056341
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2003,0.187538995622984,NA,1,NA,0.0819310481906077,-1.6737684785399,-2.50187726117648,2.80150091975378,-4.68906393208442
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2004,0.0819310481906077,NA,1,NA,0.075216615658776,-2.50187726117648,-2.58738311952359,6.25938982999194,-15.6602250844962
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2005,0.075216615658776,NA,1,NA,0.0104206649821262,-2.58738311952359,-4.5639644268308,6.69455140719561,-17.3213693037608
"gzgz_24","Buchloe dactyloides","BUCDAC_1997_1",2006,0.0104206649821262,NA,1,NA,0.00306175169790417,-4.5639644268308,-5.78876807650953,20.8297712893769,-95.0663351837378
